X1 	 149 X2 	 -1132 	 Y1 	 1671 Y2 2268 	 Z1 	 -188 Z2 	 157 
X1 	 101 X2 	 737 	 Y1 	 1591 Y2 2371 	 Z1 	 -166 Z2 	 -66 
X1 	 189 X2 	 515 	 Y1 	 1700 Y2 2278 	 Z1 	 -203 Z2 	 1764 
X1 	 347 X2 	 -462 	 Y1 	 1505 Y2 1837 	 Z1 	 -134 Z2 	 -2302 
X1 	 252 X2 	 1441 	 Y1 	 1439 Y2 1939 	 Z1 	 -159 Z2 	 -170 
X1 	 290 X2 	 -643 	 Y1 	 1489 Y2 1886 	 Z1 	 -196 Z2 	 205 
X1 	 414 X2 	 104 	 Y1 	 1699 Y2 2192 	 Z1 	 -115 Z2 	 233 
X1 	 507 X2 	 176 	 Y1 	 1802 Y2 2119 	 Z1 	 -194 Z2 	 1322 
X1 	 481 X2 	 -1350 	 Y1 	 1700 Y2 1923 	 Z1 	 -197 Z2 	 -148 
X1 	 330 X2 	 -60 	 Y1 	 1833 Y2 2198 	 Z1 	 -582 Z2 	 419 
X1 	 699 X2 	 -918 	 Y1 	 2174 Y2 2705 	 Z1 	 -232 Z2 	 -1393 
X1 	 312 X2 	 -535 	 Y1 	 1776 Y2 2348 	 Z1 	 -205 Z2 	 1845 
X1 	 594 X2 	 -1152 	 Y1 	 2162 Y2 2197 	 Z1 	 -315 Z2 	 227 
X1 	 -39 X2 	 -2320 	 Y1 	 2515 Y2 3884 	 Z1 	 -210 Z2 	 -1909 
X1 	 -81 X2 	 -705 	 Y1 	 2873 Y2 3344 	 Z1 	 -437 Z2 	 1588 
X1 	 -513 X2 	 -927 	 Y1 	 2878 Y2 3245 	 Z1 	 -539 Z2 	 1934 
X1 	 -523 X2 	 -1435 	 Y1 	 2514 Y2 2738 	 Z1 	 -319 Z2 	 -265 
X1 	 -140 X2 	 5251 	 Y1 	 2604 Y2 3467 	 Z1 	 -360 Z2 	 -3833 
X1 	 -590 X2 	 -922 	 Y1 	 2334 Y2 2360 	 Z1 	 -185 Z2 	 -473 
X1 	 -220 X2 	 -971 	 Y1 	 2051 Y2 2209 	 Z1 	 -427 Z2 	 3656 
X1 	 -614 X2 	 1172 	 Y1 	 1623 Y2 2189 	 Z1 	 135 Z2 	 -2777 
X1 	 -637 X2 	 1318 	 Y1 	 1484 Y2 1887 	 Z1 	 -11 Z2 	 -1629 
X1 	 -685 X2 	 -2265 	 Y1 	 1005 Y2 1182 	 Z1 	 42 Z2 	 1498 
X1 	 -447 X2 	 -1396 	 Y1 	 1146 Y2 1238 	 Z1 	 -324 Z2 	 615 
X1 	 -916 X2 	 1029 	 Y1 	 900 Y2 500 	 Z1 	 33 Z2 	 -1169 
X1 	 -971 X2 	 -356 	 Y1 	 1034 Y2 794 	 Z1 	 -260 Z2 	 630 
X1 	 -872 X2 	 -1376 	 Y1 	 717 Y2 108 	 Z1 	 -153 Z2 	 455 
X1 	 -882 X2 	 125 	 Y1 	 568 Y2 160 	 Z1 	 112 Z2 	 -2105 
X1 	 -901 X2 	 583 	 Y1 	 543 Y2 494 	 Z1 	 -158 Z2 	 529 
X1 	 -800 X2 	 -299 	 Y1 	 514 Y2 417 	 Z1 	 -190 Z2 	 455 
X1 	 -649 X2 	 -922 	 Y1 	 421 Y2 553 	 Z1 	 412 Z2 	 60 
X1 	 -568 X2 	 -89 	 Y1 	 265 Y2 549 	 Z1 	 -53 Z2 	 62 
X1 	 -364 X2 	 -59 	 Y1 	 236 Y2 60 	 Z1 	 -31 Z2 	 -364 
X1 	 -258 X2 	 70 	 Y1 	 127 Y2 314 	 Z1 	 25 Z2 	 212 
X1 	 -29 X2 	 926 	 Y1 	 55 Y2 732 	 Z1 	 -93 Z2 	 1309 
X1 	 1 X2 	 723 	 Y1 	 14 Y2 459 	 Z1 	 54 Z2 	 247 
X1 	 3 X2 	 994 	 Y1 	 65 Y2 572 	 Z1 	 104 Z2 	 224 
X1 	 375 X2 	 -69 	 Y1 	 246 Y2 702 	 Z1 	 5 Z2 	 151 
X1 	 -55 X2 	 304 	 Y1 	 157 Y2 435 	 Z1 	 -78 Z2 	 853 
X1 	 -301 X2 	 -13 	 Y1 	 5 Y2 319 	 Z1 	 -18 Z2 	 -9 
X1 	 -344 X2 	 157 	 Y1 	 95 Y2 452 	 Z1 	 -60 Z2 	 368 
X1 	 -398 X2 	 -459 	 Y1 	 235 Y2 366 	 Z1 	 123 Z2 	 67 
X1 	 -472 X2 	 654 	 Y1 	 401 Y2 652 	 Z1 	 -92 Z2 	 847 
X1 	 -753 X2 	 1067 	 Y1 	 580 Y2 608 	 Z1 	 -73 Z2 	 486 
X1 	 -348 X2 	 -1073 	 Y1 	 687 Y2 436 	 Z1 	 -83 Z2 	 -571 
X1 	 -611 X2 	 -2184 	 Y1 	 1078 Y2 945 	 Z1 	 -149 Z2 	 538 
X1 	 -674 X2 	 -782 	 Y1 	 1064 Y2 1180 	 Z1 	 -77 Z2 	 686 
X1 	 -731 X2 	 -695 	 Y1 	 1354 Y2 1405 	 Z1 	 -86 Z2 	 436 
X1 	 -666 X2 	 -413 	 Y1 	 1328 Y2 1734 	 Z1 	 -45 Z2 	 499 
X1 	 -290 X2 	 -2303 	 Y1 	 1515 Y2 2095 	 Z1 	 -90 Z2 	 525 
X1 	 -122 X2 	 -1131 	 Y1 	 1559 Y2 2122 	 Z1 	 -51 Z2 	 862 
X1 	 85 X2 	 -625 	 Y1 	 1618 Y2 2072 	 Z1 	 -208 Z2 	 151 
X1 	 262 X2 	 -1793 	 Y1 	 1675 Y2 2030 	 Z1 	 -261 Z2 	 -710 
X1 	 334 X2 	 203 	 Y1 	 1697 Y2 2340 	 Z1 	 -290 Z2 	 316 
X1 	 379 X2 	 -829 	 Y1 	 1695 Y2 2405 	 Z1 	 -176 Z2 	 924 
X1 	 441 X2 	 -841 	 Y1 	 1651 Y2 2271 	 Z1 	 -257 Z2 	 659 
X1 	 383 X2 	 187 	 Y1 	 1421 Y2 2211 	 Z1 	 -140 Z2 	 227 
X1 	 571 X2 	 39 	 Y1 	 1541 Y2 2277 	 Z1 	 -379 Z2 	 142 
X1 	 1013 X2 	 959 	 Y1 	 1900 Y2 2264 	 Z1 	 -1617 Z2 	 7884 
X1 	 593 X2 	 -2146 	 Y1 	 1688 Y2 1947 	 Z1 	 -262 Z2 	 -535 
X1 	 511 X2 	 -625 	 Y1 	 1543 Y2 1978 	 Z1 	 -212 Z2 	 366 
X1 	 545 X2 	 -1130 	 Y1 	 1583 Y2 2105 	 Z1 	 -201 Z2 	 -466 
X1 	 192 X2 	 -313 	 Y1 	 1810 Y2 2175 	 Z1 	 -171 Z2 	 466 
X1 	 90 X2 	 -1147 	 Y1 	 1835 Y2 2207 	 Z1 	 -216 Z2 	 939 
